,winner,tournament_name
0,"Steinitz, William",WorldChamp1886
1,"Steinitz, William",WorldChamp1889
2,"Steinitz, William",WorldChamp1890
3,"Steinitz, William",WorldChamp1892
4,"Lasker, Emanuel",WorldChamp1894
5,"Lasker, Emanuel",WorldChamp1896
6,"Lasker, Emanuel",WorldChamp1907
7,"Lasker, Emanuel",WorldChamp1908
8,"Lasker, Emanuel",WorldChamp1909
9,"Schlechter, Carl",WorldChamp1910a
10,"Lasker, Emanuel",WorldChamp1910b
11,"Capablanca, Jose Raul",WorldChamp1921
12,"Alekhine, Alexander",WorldChamp1927
13,"Alekhine, Alexander",WorldChamp1929
14,"Alekhine, Alexander",WorldChamp1934
15,"Euwe, Max",WorldChamp1935
16,"Alekhine, Alexander",WorldChamp1937
17,"Botvinnik, Mikhail",WorldChamp1948
18,"Botvinnik, Mikhail",WorldChamp1951
19,"Botvinnik, Mikhail",WorldChamp1954
20,"Smyslov, Vassily",WorldChamp1957
21,"Botvinnik, Mikhail",WorldChamp1958
22,"Tal, Mihail",WorldChamp1960
23,"Botvinnik, Mikhail",WorldChamp1961
24,"Petrosian, Tigran V",WorldChamp1963
25,"Petrosian, Tigran V",WorldChamp1966
26,"Spassky, Boris V",WorldChamp1969
27,"Fischer, Robert James",WorldChamp1972
28,"Karpov, Anatoly",WorldChamp1978
29,"Karpov, Anatoly",WorldChamp1981
30,"Karpov, Anatoly",WorldChamp1984
31,"Kasparov, Gary",WorldChamp1985
32,"Kasparov, Gary",WorldChamp1986
33,"Kasparov, Gary",WorldChamp1987
34,"Kasparov, Gary",WorldChamp1990
35,"Kramnik,V",WorldChamp2000
36,"Kramnik,V",WorldChamp2004
37,"Kramnik,V",WorldChamp2006
38,"Anand,V",WorldChamp2007
39,"Anand,V",WorldChamp2008
40,"Anand,V",WorldChamp2010
41,"Gelfand,B",WorldChamp2012
42,"Carlsen, Magnus",WorldChamp2013
43,"Carlsen, Magnus",WorldChamp2014
44,"Carlsen, Magnus",WorldChamp2016
45,"Carlsen,M",WorldChamp2021
